Epoch,Train_MAE,Val_MAE,Test_MAE
1,32.1682,27.9552,27.2177
2,22.4935,22.1838,21.7474
3,21.5354,20.9497,20.8224
4,20.9324,20.8848,20.6859
5,20.4016,20.5542,20.4973
6,20.2062,20.8393,20.9098
7,19.7643,19.7536,19.7007
8,19.4831,19.3613,19.3966
9,19.3472,19.075,19.2114
10,19.0999,19.8467,20.0382
11,19.213,19.6668,19.7704
12,18.7866,20.045,19.9561
13,18.792,19.4146,19.3768
14,18.6581,19.3393,19.3456
15,18.5554,18.8678,18.8023
16,18.5511,18.6324,18.7737
17,18.4829,18.4558,18.6062
18,18.3557,18.642,18.7087
19,18.3469,18.8068,18.9108
20,18.2725,18.6122,18.6644
21,18.1642,18.379,18.4839
22,18.2017,18.6856,18.6553
23,18.1304,18.5864,18.6283
24,18.102,18.6516,18.6288
25,18.0436,18.2912,18.386
26,18.0713,18.2346,18.4619
27,17.9978,18.622,18.6879
28,17.9392,18.9711,18.9011
29,17.9375,18.3564,18.4602
30,17.9154,18.8057,18.7892
31,17.8698,18.4841,18.4954
32,17.8816,18.2466,18.4158
33,17.8637,18.0927,18.2207
34,17.8226,18.1752,18.3337
35,17.7763,18.2693,18.3688
36,17.5771,18.1297,18.2359
37,17.5639,18.0169,18.1681
38,17.5597,18.0348,18.2007
39,17.5645,18.0293,18.1863
40,17.5604,18.1909,18.339
41,17.5602,18.0383,18.1431
42,17.5422,18.0963,18.2394
43,17.5484,18.3819,18.4668
44,17.5206,18.1793,18.3396
45,17.5166,18.05,18.2152
46,17.4973,18.0445,18.1838
47,17.5008,18.0504,18.1937
48,17.4899,17.948,18.099
49,17.4853,18.1698,18.2883
50,17.4777,18.0747,18.2137
51,17.4676,18.073,18.1513
52,17.4746,17.9591,18.0973
53,17.4606,18.1377,18.2209
54,17.4348,18.0347,18.2132
55,17.4185,17.9972,18.1836
56,17.4527,18.1186,18.2422
57,17.4333,18.399,18.4986
58,17.422,17.9588,18.132
59,17.4109,18.2465,18.3423
60,17.4013,18.1995,18.3323
61,17.3082,18.2208,18.3846
62,17.2987,17.947,18.0702
63,17.303,18.0594,18.1925
64,17.3045,18.1213,18.1963
65,17.289,18.0114,18.1534
66,17.2906,17.9678,18.1168
67,17.2897,17.8969,18.0751
68,17.2841,17.9925,18.1738
69,17.287,17.9595,18.1145
70,17.2893,17.9498,18.0892
71,17.2873,18.0007,18.1216
72,17.2792,17.9705,18.1234
73,17.2747,18.0733,18.201
74,17.2651,18.0099,18.1382
75,17.276,17.9157,18.1069
76,17.2638,17.8859,18.0488
77,17.2513,18.0459,18.1994
78,17.2473,17.9105,18.0774
79,17.2536,17.9744,18.1229
80,17.2417,17.9154,18.0789
81,17.1941,17.8608,18.0317
82,17.1873,17.9617,18.0791
83,17.1978,17.9269,18.1238
84,17.1877,17.8859,18.0475
85,17.1842,17.9275,18.0656
86,17.1799,17.9621,18.1205
87,17.1905,17.9758,18.1217
88,17.1844,17.9577,18.1368
89,17.1892,17.9279,18.1055
90,17.1877,17.9225,18.0578
91,17.1886,17.8942,18.0516
92,17.1851,17.9736,18.1432
93,17.1796,17.9243,18.109
94,17.1747,17.9137,18.0668
95,17.1788,17.9383,18.1101
96,17.179,17.9016,18.1106
97,17.1683,17.8943,18.067
98,17.1631,17.8833,18.0721
99,17.1619,17.943,18.1015
100,17.1584,17.946,18.1144
